gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
2838,5.78883485,1.0000,4097,6.1145,12.2356,3982.8500,292.7183,144.85
2839,5.78883485,1.0000,4097,6.3590,11.8484,3958.6250,309.7383,144.91
2840,5.78883485,1.0000,4097,4.0900,9.0367,4038.8750,201.5954,144.96
2841,5.78883485,1.0000,4097,5.0453,10.6306,4001.5250,265.6024,145.01
2842,5.78883485,1.0000,4097,6.1504,10.7109,3972.2750,279.2135,145.06
2843,5.78894041,1.0000,4097,8.5973,14.4886,3914.7500,367.0165,145.11
2844,5.78894041,1.0000,4097,6.4967,11.3652,3983.6000,268.2428,145.17
2845,5.78898530,1.0000,4097,4.0801,9.0515,4020.8000,233.0865,145.22
2846,5.78898530,1.0000,4097,3.3058,5.9745,4054.5500,147.4822,145.27
2847,5.78898530,1.0000,4097,9.6871,12.4330,3866.6750,339.1430,145.32
2848,5.78898530,1.0000,4097,5.0448,8.8787,4003.7750,214.3000,145.37
2849,5.78914096,1.0000,4097,5.0775,11.9897,3998.7500,284.5352,145.43
2850,5.78914096,1.0000,4097,4.1149,6.2748,4032.1250,157.7194,145.48
2851,5.78914096,1.0000,4097,6.9325,11.3672,3952.4000,290.1786,145.53
2852,5.78914096,1.0000,4097,5.1555,9.5277,4011.2750,238.5933,145.58
2853,5.78914096,1.0000,4097,3.6327,6.0261,4035.8000,152.5048,145.63
2854,5.78914096,1.0000,4097,3.1039,8.1780,4056.1250,191.2999,145.68
2855,5.78914096,1.0000,4097,5.4608,10.0386,4000.7000,251.5879,145.74
2856,5.78914096,1.0000,4097,7.6894,11.0037,3932.3000,293.9585,145.79
2857,5.78914096,1.0000,4097,4.4824,9.7798,4025.7500,240.5186,145.84
